municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Ipuaçu - SC,4207684,29064258.87,885801,12555089.71,.053655092,2.89464
Prefeitura Municipal de Ipumirim - SC,4207700,36632757.99,1568765,15698301.33,.074936979,2.8953373
Prefeitura Municipal de Iraceminha - SC,4207759,19254624.03,0,8185033.51,0,2.8928819
Prefeitura Municipal de Irani - SC,4207809,34314639.82,0,15234714.1,0,2.8928819
Prefeitura Municipal de Irati - SC,4207858,14866764.49,148811,6533372.55,.017857194,2.8934669
Prefeitura Municipal de Irineópolis - SC,4207908,37999769.28,2315698,16969026.43,.11011014,2.8964899
Prefeitura Municipal de Itá - SC,4208005,47435699.77,0,18434026.66,0,2.8928819
Prefeitura Municipal de Itaiópolis - SC,4208104,69824082.45,0,37513780.81,0,2.8928819
Prefeitura Municipal de Itajaí - SC,4208203,1419045324.52,37529975,672689600.99,.0502843,2.8945296
Prefeitura Municipal de Itapema - SC,4208302,234908395.97,14878761,121247425.12,.13090475,2.8971713
Prefeitura Municipal de Itapiranga - SC,4208401,67578855.53,386696,30257832.38,.010361345,2.8932214
Prefeitura Municipal de Itapoá - SC,4208450,113473531.89,0,55269064.33,0,2.8928819
Prefeitura Municipal de Ituporanga - SC,4208500,70468087.77,8643314,34952788.11,.24336874,2.9008563
Prefeitura Municipal de Jaborá - SC,4208609,21729298.15,0,10428119.18,0,2.8928819
Prefeitura Municipal de Jacinto Machado - SC,4208708,32885075.9,0,16066748.48,0,2.8928819
Prefeitura Municipal de Jaguaruna - SC,4208807,62306296.73,0,29810696.77,0,2.8928819
Prefeitura Municipal de Jaraguá do Sul - SC,4208906,783383601.11,203770861,370410863.28,.49342448,2.9090497
Prefeitura Municipal de Jardinópolis - SC,4208955,15624490.28,0,6781264.69,0,2.8928819
Prefeitura Municipal de Joaçaba - SC,4209003,160483438.13,2719894,75535687.45,.032018434,2.8939312
Prefeitura Municipal de Joinville - SC,4209102,2266564513.89,424454343,1247585912.86,.41654882,2.9065309
Prefeitura Municipal de José Boiteux - SC,4209151,19844274.46,0,9808121.5,0,2.8928819
Prefeitura Municipal de Jupiá - SC,4209177,14868735.89,0,7035462.91,0,2.8928819
Prefeitura Municipal de Lacerdópolis - SC,4209201,16614873.44,0,7339196.5,0,2.8928819
Prefeitura Municipal de Lages - SC,4209300,586444913.5,43523252,297104731.45,.15042242,2.8978107
Prefeitura Municipal de Laguna - SC,4209409,107447316.26,7805447,55371157.01,.14988522,2.8977933
Prefeitura Municipal de Lajeado Grande - SC,4209458,15065736.67,206596,6088311.95,.023012836,2.893636
Prefeitura Municipal de Laurentino - SC,4209508,23221814.88,0,11591698.36,0,2.8928819
Prefeitura Municipal de Lauro Muller - SC,4209607,48664683.51,5768449,24583296.63,.23953973,2.9007308
Prefeitura Municipal de Lebon Régis - SC,4209706,33662566.88,2394790,16124537.32,.1365484,2.8973563
