codibge,uf,valor,sp
2208650,PI,-3750247,0
2510907,PB,3512,0
4205902,SC,-40293459,0
3512407,SP,-3559480,1
2502151,PB,-161314,0
3516200,SP,-110924103,1
2904407,BA,246756,0
2108256,MA,3854746,0
2614808,PE,573288,0
2920007,BA,10007761,0
3515004,SP,35354353,1
4108403,PR,-44430418,0
2932903,BA,68876598,0
4307906,RS,-3328390,0
4121000,PR,-941313,0
3548807,SP,101262597,1
3521309,SP,1540214,1
5216403,GO,3330357,0
2933307,BA,192722859,0
5219456,GO,1172843,0
4126009,PR,2777824,0
2605806,PE,6436687,0
5100300,MT,-803161,0
5006606,MS,-136979215,0
2602100,PE,23614665,0
2704906,AL,43339607,0
2902708,BA,-1236902,0
1503093,PA,38294799,0
2512408,PB,16564366,0
4207684,SC,-2408922,0
2903276,BA,-2363211,0
2509503,PB,1328342,0
5210406,GO,-552487,0
2806305,SE,36656322,0
4309209,RS,228641313,0
4208906,SC,26712336,0
2602308,PE,27014386,0
1502509,PA,3717579,0
4310603,RS,9072040,0
2600807,PE,13237249,0
2605202,PE,39256761,0
5204003,GO,-2247070,0
2406601,RN,10748237,0
3528502,SP,-42064336,1
2606606,PE,8070485,0
2920452,BA,2459265,0
2514404,PB,5406583,0
3124104,MG,20114604,0
3547908,SP,-2157827,1
2505501,PB,507975,0
2307007,CE,36438192,0
4122107,PR,596134,0
4304358,RS,-286253,0
1715705,TO,3960150,0
2303402,CE,-72831,0
2615508,PE,11238044,0
2608503,PE,41732923,0
3134004,MG,-1535129,0
3164001,MG,1318891,0
4117297,PR,-3688123,0
2406403,RN,145249,0
2600203,PE,6611050,0
2909604,BA,13422578,0
2914802,BA,396624235,0
2412906,RN,13922157,0
3522406,SP,17835774,1
2907806,BA,19818097,0
2601904,PE,24534427,0
2307700,CE,-38438265,0
2414001,RN,16998518,0
2602407,PE,543899,0
2516805,PB,10304308,0
2908903,BA,26179155,0
5201405,GO,-627401873,0
3113404,MG,52838931,0
3303500,RJ,468706735,0
4206702,SC,-5886669,0
4212106,SC,-16059846,0
5205000,GO,6012631,0
2304806,CE,9654467,0
2925402,BA,1708813,0
3552700,SP,-7060462,1
5002704,MS,71772602,0
2609907,PE,102491794,0
2614709,PE,5453513,0
5003207,MS,-18207533,0
2105005,MA,2698359,0
2103406,MA,13558026,0
4310413,RS,2003387,0
2929404,BA,3039235,0
2925600,BA,12441449,0
2608909,PE,9115313,0
2929107,BA,15381382,0
4115200,PR,74614216,0
2929305,BA,71222175,0
4215901,SC,-2731232,0
3534708,SP,13495460,1
3532827,SP,-5376436,1
3118908,MG,-66829,0
4218756,SC,-2847908,0
2509701,PB,15706403,0
2917607,BA,64169049,0
3303302,RJ,-57299462,0
2909901,BA,18075863,0
4209102,SC,421038250,0
2601201,PE,2280604,0
2917300,BA,8541358,0
1500701,PA,10799366,0
2613602,PE,4143685,0
3157906,MG,1540830,0
2920304,BA,-1901581,0
2501807,PB,99109779,0
3519071,SP,84599694,1
2602209,PE,-768031,0
2608800,PE,2609699,0
4201273,SC,-2864024,0
2412609,RN,6385668,0
2405702,RN,2478639,0
4304663,RS,-7570911,0
2805208,SE,916873,0
2300804,CE,3541,0
2601003,PE,506816,0
2405207,RN,4337049,0
2929909,BA,-19789795,0
2306702,CE,20666334,0
2802502,SE,5318612,0
3518701,SP,546556261,1
2609006,PE,-72537,0
2509156,PB,-17469604,0
2905602,BA,27493757,0
2109502,MA,2603756,0
2610509,PE,14317277,0
2611200,PE,5945524,0
2107803,MA,1219751,0
3522307,SP,91551081,1
2310902,CE,7879139,0
2807303,SE,6033420,0
2302057,CE,-436396,0
2923704,BA,16030550,0
2108900,MA,11401734,0
2102507,MA,1713761,0
2805406,SE,10521400,0
3505500,SP,176847417,1
2607406,PE,8454575,0
2924306,BA,13029996,0
3553500,SP,-7073880,1
2916856,BA,26153468,0
2303105,CE,-594335,0
5208707,GO,1274133385,0
3300456,RJ,308432376,0
2923407,BA,16878656,0
3303203,RJ,26683612,0
2301851,CE,25857768,0
3536208,SP,-11168417,1
1505700,PA,24370835,0
3511607,SP,-1349129,1
4111605,PR,-1048740,0
2300507,CE,5728707,0
4207858,SC,-2133891,0
3170206,MG,232555554,0
5205455,GO,6887955,0
3529906,SP,3577931,1
3501905,SP,-3538550,1
3529500,SP,-351764,1
3304904,RJ,435911118,0
3528809,SP,-1352957,1
5203500,GO,-29163794,0
3526001,SP,-3562645,1
4114609,PR,-33974379,0
2111201,MA,12443199,0
3519303,SP,14900279,1
4205605,SC,-3770550,0
2401602,RN,5945933,0
3510807,SP,17892215,1
2602902,PE,-97953565,0
4105508,PR,-36468181,0
3107406,MG,-10224474,0
4209177,SC,-1000295,0
3509007,SP,-4711986,1
3138203,MG,31024686,0
2403004,RN,-4215883,0
4302105,RS,7654553,0
4300604,RS,22481847,0
2408102,RN,396046845,0
4127007,PR,-1078393,0
3523206,SP,31402838,1
2103000,MA,137262486,0
3529609,SP,-3858129,1
4301602,RS,39180732,0
3551702,SP,-51153191,1
5204904,GO,-15085410,0
4320008,RS,-82263772,0
3169505,MG,292996,0
2600906,PE,15063857,0
2309458,CE,19018758,0
2301505,CE,2541101,0
2601607,PE,457249,0
2508802,PB,3772498,0
4306106,RS,55229161,0
2904308,BA,20442882,0
3521705,SP,2180744,1
1400506,RR,12806796,0
3131703,MG,6925813,0
2607604,PE,-6517455,0
2507200,PB,6273817,0
2309300,CE,1764457,0
